index,TCP_Number,Year,cleaned_year
3989,A13503,1621,1621
3990,A13505,1621,1621
3991,A13508,1620,1620
3992,A13509,1632,1632
3993,A13510,1615,1615
3994,A13511,1636,1636
3995,A13512,1616,1616
3996,A13513,1617,1617
3997,A13514,1624,1624
3998,A13515,1621,1621
3999,A13516,1640,1640
4000,A13519,1622,1622
4001,A13520,1628,1628
4002,A13521,1622,1622
4003,A13524,1623,1623
4004,A13528,1609,1609
4005,A13529,1635,1635
4006,A13530,1618,1618
4007,A13533,1633,1633
4008,A13534,1631,1631
4009,A13535,1612,1612
4010,A13538,1617,1617
4011,A13540,1625,1625
4012,A13541,1620,1620
4013,A13542,1629,1629
4014,A13544,1620,1620
4015,A13547,1621,1621
4016,A13551,1628,1628
4017,A13554,1630,1630
4018,A13556,1631,1631
4019,A13558,1624,1624
4020,A13561,1633,1633
4021,A13562,1629,1629
4022,A13569,1621,1621
4023,A13570,1621,1621
4024,A13572,1601,1601
4025,A13576,1592,1592
4026,A13579,1605,1605
4027,A13580,1611,1611
4028,A13581,1580,1580
4029,A13582,1583,1583
4030,A13590,1523,1523
4031,A13615,1534,1534
4032,A13620,1581,1581
4033,A13627,1604,1604
4034,A13628,1621,1621
4035,A13636,1550,1550
4036,A13643,1552,1552
4037,A13646,1603,1603
4038,A13664,1562,1562
4039,A13665,1568,1568
4040,A13668,1520,1520
4041,A13670,1517,1517
4042,A13678,1585,1585
4043,A13680,1580,1580
4044,A13694,1615,1615
4045,A13699,1639,1639
4046,A13700,1592,1592
4047,A13707,1615,1615
4048,A13708,1629,1629
4049,A13715,1631,1631
4050,A13726,1549,1549
4051,A13731,1549,1549
4052,A13746,1615,1615
4053,A13748,1530,1530
4054,A13750,1633,1633
4055,A13752,1640,1640
4056,A13758,1550,1550
4057,A13759,1629,1629
4058,A13762,1577,1577
4059,A13768,1570,1570
4060,A13774,1605,1605
4061,A13777,1637,1637
4062,A13778,1571,1571
4063,A13780,1550,1550
4064,A13781,1603,1603
4065,A13789,1638,1638
4066,A13790,1635,1635
4067,A13795,1640,1640
4068,A13796,1650,1650
4069,A13797,1598,1598
4070,A13798,1597,1597
4071,A13799,1630,1630
4072,A13800,1622,1622
4073,A13802,1615,1615
4074,A13804,1607,1607
4075,A13811,1545,1545
4076,A13812,1570,1570
4077,A13819,1597,1597
4078,A13820,1607,1607
4079,A13821,1608,1608
4080,A13822,1610,1610
4081,A13823,1596,1596
4082,A13827,1599,1599
4083,A13830,1600,1600
4084,A13833,1632,1632
4085,A13839,1635,1635
4086,A13840,1611,1611
4087,A13841,1605,1605
4088,A13842,1609,1609
4089,A13843,1607,1607
4090,A13844,1629,1629
4091,A13845,1600,1600
4092,A13846,1632,1632
